user_name,user_password,game_title,game_genre,game_developer,game_type,session_level,session_playtime,session_is_completed,achievement_list,achievement_points
qrodriguez,!qYgoFAx)7,Ergonomic value-added Internet solution,Action,Parker Group,mmo,Level 55,1864,False,Achiev_85,216
phawkins,#KWawSKav6,Triple-buffered upward-trending info-mediaries,Action,Morrison Inc,mmo,Level 33,918,True,Achiev_91,431
eholloway,!Te4O3wG8G,Face-to-face next generation process improvement,Strategy,Johnson PLC,mmo,Level 44,2013,True,Achiev_10,281
paul92,vj4p8tGDm&,Networked logistical capability,RPG,Roberts Inc,singleplayer,Level 11,1994,True,Achiev_92,228
ccurtis,^i&U1WhVX!,Up-sized exuding functionalities,Shooter,Johns LLC,mmo,Level 39,4113,False,Achiev_3,98
williamsbrandon,79MPcC_u(f,Innovative tertiary process improvement,Action,"Luna, Peters and Lambert",singleplayer,Level 6,3394,True,Achiev_68,140
richardjohnson,eCGhB&Hy(3,Ergonomic value-added Internet solution,Action,Parker Group,mmo,Level 49,663,False,Achiev_78,84
davidwest,d0CbRwcT)T,Innovative tertiary process improvement,Action,"Luna, Peters and Lambert",singleplayer,Level 52,3646,False,Achiev_93,116
davidwest,d0CbRwcT)T,Future-proofed cohesive budgetary management,Simulation,"Callahan, Wang and Smith",singleplayer,Level 24,2627,True,Achiev_80,81
mjohns,6v$Lkv)e+6,Re-contextualized homogeneous protocol,Action,"Kennedy, Chavez and West",mmo,Level 27,4823,True,Achiev_2,379
krameramanda,$kGV3wh5t1,Universal attitude-oriented data-warehouse,Action,Rogers-Weaver,mmo,Level 22,1259,False,Achiev_99,19
zhogan,@0&Z4m@Rtr,Upgradable transitional instruction set,Strategy,Lopez-Sullivan,singleplayer,Level 30,3888,True,Achiev_60,190
christina20,yHZ#s_BZ!9,Front-line composite adapter,Action,Kramer-Robertson,singleplayer,Level 22,1947,False,Achiev_77,140
leemonica,$_W4xp0o!2,User-friendly modular concept,Strategy,Wilson-Campbell,mmo,Level 48,113,False,Achiev_78,278
anthonydavidson,)%ux&8ScBf,Upgradable transitional instruction set,Strategy,Lopez-Sullivan,singleplayer,Level 23,1816,False,Achiev_13,453
melissa84,@8tbArUYZ7,Re-contextualized optimizing analyzer,Shooter,Lawrence Ltd,singleplayer,Level 27,3152,True,Achiev_23,373
connor89,q25$3IlAu*,Front-line composite adapter,Action,Kramer-Robertson,singleplayer,Level 46,2504,True,Achiev_98,362
eholloway,!Te4O3wG8G,Centralized responsive software,Simulation,"Wyatt, Smith and Little",singleplayer,Level 36,2847,True,Achiev_38,47
jacksonmelissa,!&cZGpz1u4,Enterprise-wide methodical knowledgebase,Strategy,Wilkinson Ltd,singleplayer,Level 50,3213,False,Achiev_76,337
kariburnett,!M*0FKmK13,User-friendly high-level analyzer,RPG,Kennedy Group,mmo,Level 45,4066,True,Achiev_39,435
matthew13,@VRTVHkB6*,Re-engineered needs-based ability,Action,"Shaw, Peters and Patrick",mmo,Level 14,1758,False,Achiev_93,167
christina20,yHZ#s_BZ!9,Grass-roots next generation project,Shooter,"Brown, Hendricks and Lee",singleplayer,Level 30,3881,False,Achiev_85,104
jfarmer,9%9ACkdQq^,Profound multimedia policy,Action,"Cook, Taylor and Gutierrez",mmo,Level 26,141,True,Achiev_38,443
isanders,5G4@ljXe_W,Enhanced explicit migration,Shooter,"Moyer, Elliott and Fuller",singleplayer,Level 34,3342,False,Achiev_18,294
williamsbrandon,79MPcC_u(f,Monitored empowering open architecture,Strategy,"Miller, Swanson and Sherman",mmo,Level 59,760,True,Achiev_61,322
jasoncrawford,^Bb1nOLtK),Automated leadingedge contingency,Action,Casey Ltd,singleplayer,Level 38,261,True,Achiev_97,74
gillroger,tYu9MuOk!c,Networked logistical capability,RPG,Roberts Inc,singleplayer,Level 55,306,False,Achiev_93,284
anthonydavidson,)%ux&8ScBf,Automated leadingedge contingency,Action,Casey Ltd,singleplayer,Level 24,811,False,Achiev_22,338
scottpaul,pr6lxHlL_&,Re-engineered needs-based ability,Action,"Shaw, Peters and Patrick",mmo,Level 12,3481,True,Achiev_17,177
williamstammy,p#5lQBIg+9,Phased eco-centric service-desk,Action,"Rodriguez, Anderson and Patton",mmo,Level 58,2113,True,Achiev_46,491
eric33,RPCr2SOc(L,Re-contextualized motivating array,Shooter,Hernandez-Garner,mmo,Level 10,4251,True,Achiev_44,371
kingdeanna,kP*l2Fy*Mw,Optimized web-enabled productivity,Strategy,Hill LLC,singleplayer,Level 59,2265,True,Achiev_71,250
melissa84,@8tbArUYZ7,Stand-alone content-based utilization,Simulation,Hill Ltd,mmo,Level 26,1004,True,Achiev_5,125
leejeffrey,o$cfV4n+mF,Optimized web-enabled productivity,Strategy,Hill LLC,singleplayer,Level 19,1415,True,Achiev_72,212
leemonica,$_W4xp0o!2,Re-engineered needs-based ability,Action,"Shaw, Peters and Patrick",mmo,Level 28,1027,False,Achiev_83,379
zimmermanhunter,La5)X(5mt),Universal attitude-oriented data-warehouse,Action,Rogers-Weaver,mmo,Level 7,4161,True,Achiev_76,213
travis57,%LY4KjMfDr,Stand-alone content-based utilization,Simulation,Hill Ltd,mmo,Level 1,4571,True,Achiev_7,92
keith77,#51FYUCkMi,Persevering intermediate service-desk,RPG,Phelps Inc,mmo,Level 33,163,False,Achiev_1,381
ajones,09urP%aU%(,Cloned executive solution,RPG,Allen-White,singleplayer,Level 39,4416,True,Achiev_5,404
michael63,+el&2NYuDa,Re-contextualized homogeneous protocol,Action,"Kennedy, Chavez and West",mmo,Level 55,4102,True,Achiev_58,375
yrose,G5N32g#s_a,Centralized responsive software,Simulation,"Wyatt, Smith and Little",singleplayer,Level 28,3654,True,Achiev_96,276
zhogan,@0&Z4m@Rtr,Centralized didactic collaboration,Shooter,"Daugherty, Howe and Jenkins",singleplayer,Level 23,798,True,Achiev_19,253
phawkins,#KWawSKav6,Face-to-face next generation process improvement,Strategy,Johnson PLC,mmo,Level 29,2206,True,Achiev_44,386
feliciabrown,W2C+Y6Utw),Operative zero-defect Graphical User Interface,Simulation,Martinez PLC,singleplayer,Level 16,4862,False,Achiev_50,353
rosejennifer,&t&TY5J3w#,Universal attitude-oriented data-warehouse,Action,Rogers-Weaver,mmo,Level 43,4217,False,Achiev_57,313
hbaker,xuT3uTEub+,Enhanced interactive moratorium,Strategy,Vazquez-Lewis,singleplayer,Level 56,4099,False,Achiev_64,141
julia10,@PL8MHofj7,Operative zero-defect Graphical User Interface,Simulation,Martinez PLC,singleplayer,Level 24,345,False,Achiev_36,117
leejeffrey,o$cfV4n+mF,Future-proofed cohesive budgetary management,Simulation,"Callahan, Wang and Smith",singleplayer,Level 25,616,True,Achiev_68,336
morganjonathon,^1gEOs10)J,Centralized didactic collaboration,Shooter,"Daugherty, Howe and Jenkins",singleplayer,Level 10,4358,True,Achiev_5,485
xsullivan,u*30IxM((g,Future-proofed bifurcated website,Simulation,Douglas-Crawford,singleplayer,Level 2,1291,False,Achiev_95,112
isanders,5G4@ljXe_W,Public-key dynamic Local Area Network,Strategy,"Foster, Ross and Callahan",mmo,Level 32,2745,False,Achiev_37,421
melissamaldonado,XlM_3@PQz^,Face-to-face next generation process improvement,Strategy,Johnson PLC,mmo,Level 12,3452,True,Achiev_6,374
hernandezrebecca,Ua!7SMsK2@,Object-based optimal service-desk,Shooter,Ortiz-Newton,singleplayer,Level 38,1010,True,Achiev_49,455
melissa84,@8tbArUYZ7,Networked logistical capability,RPG,Roberts Inc,singleplayer,Level 32,3954,True,Achiev_32,317
ccurtis,^i&U1WhVX!,Innovative tertiary process improvement,Action,"Luna, Peters and Lambert",singleplayer,Level 13,3347,True,Achiev_63,359
morganjonathon,^1gEOs10)J,Synchronized tertiary archive,RPG,"Wong, Conley and Robinson",singleplayer,Level 12,3508,False,Achiev_62,305
leejeffrey,o$cfV4n+mF,Open-source reciprocal policy,Action,Stanley-Vaughn,singleplayer,Level 28,3789,False,Achiev_16,371
phawkins,#KWawSKav6,Enhanced explicit migration,Shooter,"Moyer, Elliott and Fuller",singleplayer,Level 34,1019,True,Achiev_19,368
randall21,$2o2Bs+nh0,Pre-emptive bottom-line initiative,Simulation,Pena LLC,singleplayer,Level 37,806,False,Achiev_11,403
megan40,7)YiU98q@Z,Automated leadingedge contingency,Action,Casey Ltd,singleplayer,Level 50,3512,True,Achiev_81,50
robert71,)tkcUy%A7Y,Automated leadingedge contingency,Action,Casey Ltd,singleplayer,Level 39,3631,False,Achiev_36,95
oford,0r5CQVbM$F,Stand-alone local Graphic Interface,Strategy,Martinez-Cordova,singleplayer,Level 33,914,False,Achiev_74,246
richardjohnson,eCGhB&Hy(3,De-engineered local superstructure,Action,"Rangel, Blankenship and Preston",singleplayer,Level 13,904,True,Achiev_26,433
jburns,JBSy6MzI%l,Enterprise-wide methodical knowledgebase,Strategy,Wilkinson Ltd,singleplayer,Level 10,1225,False,Achiev_96,225
jeffreydavis,&nWpTQhM+3,Re-contextualized optimizing analyzer,Shooter,Lawrence Ltd,singleplayer,Level 25,2546,False,Achiev_64,381
melissamaldonado,XlM_3@PQz^,Pre-emptive bottom-line initiative,Simulation,Pena LLC,singleplayer,Level 42,1604,False,Achiev_63,101
schmidtlori,48YOf+)7_9,De-engineered local superstructure,Action,"Rangel, Blankenship and Preston",singleplayer,Level 32,1388,True,Achiev_10,163
michael63,+el&2NYuDa,Object-based optimal service-desk,Shooter,Ortiz-Newton,singleplayer,Level 7,4293,False,Achiev_14,390
megan40,7)YiU98q@Z,Centralized didactic collaboration,Shooter,"Daugherty, Howe and Jenkins",singleplayer,Level 25,4395,True,Achiev_37,323
longjoseph,w9vV(eDp@$,Re-engineered needs-based ability,Action,"Shaw, Peters and Patrick",mmo,Level 45,1801,True,Achiev_92,239
hdudley,a%UT(og8$5,Stand-alone content-based utilization,Simulation,Hill Ltd,mmo,Level 11,2714,True,Achiev_25,188
adriannelson,Q*6H2pCSFe,Operative zero-defect Graphical User Interface,Simulation,Martinez PLC,singleplayer,Level 1,4092,False,Achiev_59,187
brandon56,q&3nCUBj5&,Upgradable transitional instruction set,Strategy,Lopez-Sullivan,singleplayer,Level 47,2981,True,Achiev_46,127
collinsjessica,3$4E0hLh@h,Cloned foreground groupware,Shooter,"Flores, Wright and Hudson",singleplayer,Level 26,1131,True,Achiev_66,225
michele48,d+ZW7S)GSi,Reduced regional policy,RPG,Simpson LLC,mmo,Level 23,1144,False,Achiev_76,461
david27,&UqVDsrUj8,Face-to-face systemic projection,RPG,"Orozco, Martinez and Vasquez",singleplayer,Level 12,3214,False,Achiev_10,167
eric33,RPCr2SOc(L,Object-based optimal service-desk,Shooter,Ortiz-Newton,singleplayer,Level 51,1984,False,Achiev_24,88
zachary51,909Yy3y9+O,User-friendly high-level analyzer,RPG,Kennedy Group,mmo,Level 8,2206,True,Achiev_31,335
christina20,yHZ#s_BZ!9,Future-proofed bifurcated website,Simulation,Douglas-Crawford,singleplayer,Level 30,3025,False,Achiev_73,229
melissamaldonado,XlM_3@PQz^,User-friendly modular concept,Strategy,Wilson-Campbell,mmo,Level 35,3850,True,Achiev_37,429
elizabeth56,EERkTdTe(3,Upgradable transitional instruction set,Strategy,Lopez-Sullivan,singleplayer,Level 52,434,True,Achiev_32,333
mprice,3X0O%Qk*^w,Re-contextualized motivating array,Shooter,Hernandez-Garner,mmo,Level 34,2584,True,Achiev_13,161
scottpaul,pr6lxHlL_&,Advanced stable model,Action,Middleton-Lowery,mmo,Level 59,2293,True,Achiev_87,142
joseph51,IL_Vat*M@9,Monitored empowering open architecture,Strategy,"Miller, Swanson and Sherman",mmo,Level 56,388,True,Achiev_41,10
adriannelson,Q*6H2pCSFe,Enterprise-wide methodical knowledgebase,Strategy,Wilkinson Ltd,singleplayer,Level 52,3575,False,Achiev_76,103
jameswilkins,(5YyBb2nMA,Monitored empowering open architecture,Strategy,"Miller, Swanson and Sherman",mmo,Level 23,2166,False,Achiev_19,224
mcgrathdebbie,4CU)qpMt#1,Face-to-face systemic projection,RPG,"Orozco, Martinez and Vasquez",singleplayer,Level 54,917,True,Achiev_36,29
jfarmer,9%9ACkdQq^,Cloned executive solution,RPG,Allen-White,singleplayer,Level 13,2098,False,Achiev_57,180
brandon56,q&3nCUBj5&,Versatile well-modulated moderator,RPG,Myers PLC,mmo,Level 52,4278,True,Achiev_8,421
schmidtlori,48YOf+)7_9,Re-engineered needs-based ability,Action,"Shaw, Peters and Patrick",mmo,Level 28,4575,False,Achiev_29,388
jfarmer,9%9ACkdQq^,Networked logistical capability,RPG,Roberts Inc,singleplayer,Level 16,971,True,Achiev_33,149
scottpaul,pr6lxHlL_&,Centralized responsive software,Simulation,"Wyatt, Smith and Little",singleplayer,Level 60,1614,False,Achiev_56,435
bgonzalez,!_7K1FHxEc,Stand-alone content-based utilization,Simulation,Hill Ltd,mmo,Level 59,871,False,Achiev_84,475
steven03,%l1oKgxrV%,Front-line composite adapter,Action,Kramer-Robertson,singleplayer,Level 54,3180,True,Achiev_81,179
creynolds,8!QMVy67_O,Front-line composite adapter,Action,Kramer-Robertson,singleplayer,Level 6,4053,False,Achiev_3,476
isanders,5G4@ljXe_W,Face-to-face systemic projection,RPG,"Orozco, Martinez and Vasquez",singleplayer,Level 52,1830,False,Achiev_41,102
zhogan,@0&Z4m@Rtr,Object-based optimal service-desk,Shooter,Ortiz-Newton,singleplayer,Level 1,2047,False,Achiev_55,346
jfarmer,9%9ACkdQq^,Centralized didactic collaboration,Shooter,"Daugherty, Howe and Jenkins",singleplayer,Level 42,88,True,Achiev_53,282
melissamaldonado,XlM_3@PQz^,User-friendly high-level analyzer,RPG,Kennedy Group,mmo,Level 45,2030,True,Achiev_17,72
sean69,%BXHeiHse6,Centralized responsive software,Simulation,"Wyatt, Smith and Little",singleplayer,Level 34,2496,True,Achiev_34,214
steven03,%l1oKgxrV%,De-engineered local superstructure,Action,"Rangel, Blankenship and Preston",singleplayer,Level 48,3999,True,Achiev_78,152
hdudley,a%UT(og8$5,Object-based 24/7 data-warehouse,Simulation,Allen-Oconnor,singleplayer,Level 20,224,True,Achiev_55,123
robert71,)tkcUy%A7Y,Public-key dynamic Local Area Network,Strategy,"Foster, Ross and Callahan",mmo,Level 3,2355,False,Achiev_44,416
jfarmer,9%9ACkdQq^,Persevering intermediate service-desk,RPG,Phelps Inc,mmo,Level 11,2089,False,Achiev_54,290
ejackson,E$i0TdurGY,Triple-buffered upward-trending info-mediaries,Action,Morrison Inc,mmo,Level 4,2393,False,Achiev_47,385
connor89,q25$3IlAu*,User-friendly modular concept,Strategy,Wilson-Campbell,mmo,Level 26,2890,True,Achiev_66,409
david27,&UqVDsrUj8,Re-contextualized motivating array,Shooter,Hernandez-Garner,mmo,Level 3,1567,True,Achiev_2,130
qrodriguez,!qYgoFAx)7,Future-proofed cohesive budgetary management,Simulation,"Callahan, Wang and Smith",singleplayer,Level 52,917,True,Achiev_40,475
rosejennifer,&t&TY5J3w#,Cloned human-resource Graphical User Interface,Action,Miller-Johnson,mmo,Level 17,3829,True,Achiev_5,182
logan03,*7IS5Gyv)M,Innovative tertiary process improvement,Action,"Luna, Peters and Lambert",singleplayer,Level 41,646,True,Achiev_22,121
jeffreydavis,&nWpTQhM+3,Universal attitude-oriented data-warehouse,Action,Rogers-Weaver,mmo,Level 34,1989,True,Achiev_37,281
joseph51,IL_Vat*M@9,Object-based 24/7 data-warehouse,Simulation,Allen-Oconnor,singleplayer,Level 46,2014,False,Achiev_23,243
leejeffrey,o$cfV4n+mF,Cloned foreground groupware,Shooter,"Flores, Wright and Hudson",singleplayer,Level 19,3074,False,Achiev_6,284
keith77,#51FYUCkMi,Front-line composite adapter,Action,Kramer-Robertson,singleplayer,Level 30,1339,True,Achiev_99,84
williamsmith,&4*BLq&G3H,Ergonomic value-added Internet solution,Action,Parker Group,mmo,Level 41,3380,True,Achiev_7,177
creynolds,8!QMVy67_O,Synchronized tertiary archive,RPG,"Wong, Conley and Robinson",singleplayer,Level 16,4871,False,Achiev_62,391
xsullivan,u*30IxM((g,Optimized web-enabled productivity,Strategy,Hill LLC,singleplayer,Level 6,1909,True,Achiev_16,31
keith83,Q*1pDOyza@,Stand-alone content-based utilization,Simulation,Hill Ltd,mmo,Level 8,1778,True,Achiev_32,26
hdudley,a%UT(og8$5,Universal attitude-oriented data-warehouse,Action,Rogers-Weaver,mmo,Level 22,1299,False,Achiev_19,307
hernandezrebecca,Ua!7SMsK2@,Networked logistical capability,RPG,Roberts Inc,singleplayer,Level 14,2064,False,Achiev_100,235
crystal57,)&KRkmjXk6,Triple-buffered upward-trending info-mediaries,Action,Morrison Inc,mmo,Level 18,2703,False,Achiev_35,351
richardjohnson,eCGhB&Hy(3,Object-based 24/7 data-warehouse,Simulation,Allen-Oconnor,singleplayer,Level 45,2188,False,Achiev_33,259
joshua09,)yDjjmbf95,Centralized responsive software,Simulation,"Wyatt, Smith and Little",singleplayer,Level 3,672,True,Achiev_10,499
christina60,KM_9JmNwU3,Face-to-face next generation process improvement,Strategy,Johnson PLC,mmo,Level 13,18,True,Achiev_56,53
leejeffrey,o$cfV4n+mF,Re-contextualized optimizing analyzer,Shooter,Lawrence Ltd,singleplayer,Level 19,1611,True,Achiev_63,449
kariburnett,!M*0FKmK13,Synchronized tertiary archive,RPG,"Wong, Conley and Robinson",singleplayer,Level 45,588,False,Achiev_96,43
mprice,3X0O%Qk*^w,User-centric zero administration customer loyalty,Action,"Mcneil, Bradshaw and Sanders",singleplayer,Level 20,4308,False,Achiev_46,380
connor89,q25$3IlAu*,Reduced regional policy,RPG,Simpson LLC,mmo,Level 45,293,True,Achiev_52,20
gillroger,tYu9MuOk!c,Enterprise-wide methodical knowledgebase,Strategy,Wilkinson Ltd,singleplayer,Level 1,4501,False,Achiev_95,165
brandon56,q&3nCUBj5&,Configurable upward-trending leverage,Simulation,Tate-Wells,singleplayer,Level 12,4319,False,Achiev_74,65
williamsbrandon,79MPcC_u(f,Stand-alone content-based utilization,Simulation,Hill Ltd,mmo,Level 33,4353,True,Achiev_17,262
ymiddleton,%2lENblOyY,Right-sized heuristic alliance,Shooter,"Martin, Sharp and Lopez",singleplayer,Level 40,3915,False,Achiev_1,86
matthew13,@VRTVHkB6*,Re-contextualized motivating array,Shooter,Hernandez-Garner,mmo,Level 30,3778,False,Achiev_46,412
logan03,*7IS5Gyv)M,User-friendly modular concept,Strategy,Wilson-Campbell,mmo,Level 2,303,True,Achiev_43,23
melissamaldonado,XlM_3@PQz^,Automated leadingedge contingency,Action,Casey Ltd,singleplayer,Level 55,1191,True,Achiev_31,159
adriana84,k5L%IK*w&R,Reduced regional policy,RPG,Simpson LLC,mmo,Level 30,3726,False,Achiev_59,409
eric33,RPCr2SOc(L,Enterprise-wide methodical knowledgebase,Strategy,Wilkinson Ltd,singleplayer,Level 43,4759,False,Achiev_70,243
isanders,5G4@ljXe_W,Automated leadingedge contingency,Action,Casey Ltd,singleplayer,Level 52,3364,True,Achiev_50,242
ustevenson,89@Lp0ey&H,Grass-roots next generation project,Shooter,"Brown, Hendricks and Lee",singleplayer,Level 10,301,False,Achiev_48,145
mjohns,6v$Lkv)e+6,De-engineered local superstructure,Action,"Rangel, Blankenship and Preston",singleplayer,Level 9,4786,False,Achiev_42,188
hdudley,a%UT(og8$5,Stand-alone content-based utilization,Simulation,Hill Ltd,mmo,Level 34,3491,True,Achiev_69,45
adriannelson,Q*6H2pCSFe,Innovative tertiary process improvement,Action,"Luna, Peters and Lambert",singleplayer,Level 18,1728,False,Achiev_77,263
logan03,*7IS5Gyv)M,Stand-alone content-based utilization,Simulation,Hill Ltd,mmo,Level 17,2474,True,Achiev_77,273
ejackson,E$i0TdurGY,User-centric zero administration customer loyalty,Action,"Mcneil, Bradshaw and Sanders",singleplayer,Level 33,1025,False,Achiev_32,197
hdudley,a%UT(og8$5,Re-engineered needs-based ability,Action,"Shaw, Peters and Patrick",mmo,Level 33,2094,True,Achiev_90,183
kempmelanie,OR0Vy7Ad&L,Centralized didactic collaboration,Shooter,"Daugherty, Howe and Jenkins",singleplayer,Level 29,4724,True,Achiev_79,20
morganjonathon,^1gEOs10)J,Future-proofed bifurcated website,Simulation,Douglas-Crawford,singleplayer,Level 52,1528,False,Achiev_86,120
michael63,+el&2NYuDa,Advanced stable model,Action,Middleton-Lowery,mmo,Level 32,2050,False,Achiev_26,352
tarasampson,&VuR9FVis9,Cloned executive solution,RPG,Allen-White,singleplayer,Level 48,2914,False,Achiev_35,232
ajones,09urP%aU%(,Future-proofed bifurcated website,Simulation,Douglas-Crawford,singleplayer,Level 10,1430,False,Achiev_44,225
williamsmith,&4*BLq&G3H,Cloned human-resource Graphical User Interface,Action,Miller-Johnson,mmo,Level 11,1164,True,Achiev_92,21
hdudley,a%UT(og8$5,Re-engineered needs-based ability,Action,"Shaw, Peters and Patrick",mmo,Level 22,3280,False,Achiev_97,167
rosskimberly,@Z6RpuhNjG,Automated leadingedge contingency,Action,Casey Ltd,singleplayer,Level 12,3954,False,Achiev_94,54
michael63,+el&2NYuDa,Monitored empowering open architecture,Strategy,"Miller, Swanson and Sherman",mmo,Level 25,974,False,Achiev_78,286
ustevenson,89@Lp0ey&H,Face-to-face next generation process improvement,Strategy,Johnson PLC,mmo,Level 31,4534,True,Achiev_53,124
mcgrathdebbie,4CU)qpMt#1,User-friendly high-level analyzer,RPG,Kennedy Group,mmo,Level 5,3195,True,Achiev_68,360
scottpaul,pr6lxHlL_&,Operative zero-defect Graphical User Interface,Simulation,Martinez PLC,singleplayer,Level 6,924,True,Achiev_82,456
keith83,Q*1pDOyza@,Re-contextualized motivating array,Shooter,Hernandez-Garner,mmo,Level 30,1893,True,Achiev_83,312
feliciabrown,W2C+Y6Utw),Innovative tertiary process improvement,Action,"Luna, Peters and Lambert",singleplayer,Level 51,4562,True,Achiev_45,437
christina60,KM_9JmNwU3,Advanced stable model,Action,Middleton-Lowery,mmo,Level 15,2651,False,Achiev_72,266
ejackson,E$i0TdurGY,Future-proofed bifurcated website,Simulation,Douglas-Crawford,singleplayer,Level 2,692,False,Achiev_90,350
megan40,7)YiU98q@Z,Enterprise-wide methodical knowledgebase,Strategy,Wilkinson Ltd,singleplayer,Level 52,4273,False,Achiev_69,50
michele48,d+ZW7S)GSi,Re-contextualized motivating array,Shooter,Hernandez-Garner,mmo,Level 37,4377,False,Achiev_86,12
hernandezrebecca,Ua!7SMsK2@,User-friendly modular concept,Strategy,Wilson-Campbell,mmo,Level 41,4699,True,Achiev_63,144
joshua09,)yDjjmbf95,Automated leadingedge contingency,Action,Casey Ltd,singleplayer,Level 25,4581,True,Achiev_36,409
matthew13,@VRTVHkB6*,Up-sized exuding functionalities,Shooter,Johns LLC,mmo,Level 8,3014,False,Achiev_91,413
christina20,yHZ#s_BZ!9,Face-to-face next generation process improvement,Strategy,Johnson PLC,mmo,Level 29,989,False,Achiev_62,235
kweaver,6TJbHsqq&b,Phased eco-centric service-desk,Action,"Rodriguez, Anderson and Patton",mmo,Level 30,4291,True,Achiev_26,401
shannonhill,!F($y8CxR0,Networked logistical capability,RPG,Roberts Inc,singleplayer,Level 48,4593,False,Achiev_48,246
ymiddleton,%2lENblOyY,Public-key dynamic Local Area Network,Strategy,"Foster, Ross and Callahan",mmo,Level 47,712,False,Achiev_14,389
christina60,KM_9JmNwU3,Synchronized tertiary archive,RPG,"Wong, Conley and Robinson",singleplayer,Level 24,882,True,Achiev_20,488
sean69,%BXHeiHse6,Upgradable transitional instruction set,Strategy,Lopez-Sullivan,singleplayer,Level 2,583,True,Achiev_47,45
mckeeadrian,#19Z$fk1%V,De-engineered local superstructure,Action,"Rangel, Blankenship and Preston",singleplayer,Level 44,1565,False,Achiev_22,406
morganjonathon,^1gEOs10)J,Re-contextualized homogeneous protocol,Action,"Kennedy, Chavez and West",mmo,Level 23,4525,True,Achiev_63,244
connor89,q25$3IlAu*,Phased eco-centric service-desk,Action,"Rodriguez, Anderson and Patton",mmo,Level 39,4673,False,Achiev_87,279
fjackson,8+$YNJYe!v,Phased eco-centric service-desk,Action,"Rodriguez, Anderson and Patton",mmo,Level 54,1910,False,Achiev_49,420
steven03,%l1oKgxrV%,User-friendly high-level analyzer,RPG,Kennedy Group,mmo,Level 6,3230,False,Achiev_48,404
williamsmith,&4*BLq&G3H,Re-contextualized motivating array,Shooter,Hernandez-Garner,mmo,Level 48,1479,True,Achiev_95,34
leejeffrey,o$cfV4n+mF,Public-key dynamic Local Area Network,Strategy,"Foster, Ross and Callahan",mmo,Level 18,397,True,Achiev_66,436
michele48,d+ZW7S)GSi,Object-based optimal service-desk,Shooter,Ortiz-Newton,singleplayer,Level 1,1174,True,Achiev_71,120
david39,&P99vVsr#y,Centralized responsive software,Simulation,"Wyatt, Smith and Little",singleplayer,Level 4,1611,True,Achiev_52,186
kweaver,6TJbHsqq&b,Operative zero-defect Graphical User Interface,Simulation,Martinez PLC,singleplayer,Level 7,3646,True,Achiev_27,151
othomas,*Y50IzuTcS,Networked logistical capability,RPG,Roberts Inc,singleplayer,Level 42,3543,True,Achiev_14,393
david15,4K8uQCava&,De-engineered local superstructure,Action,"Rangel, Blankenship and Preston",singleplayer,Level 43,3392,False,Achiev_61,473
adriana84,k5L%IK*w&R,Future-proofed cohesive budgetary management,Simulation,"Callahan, Wang and Smith",singleplayer,Level 19,4198,True,Achiev_51,163
leejeffrey,o$cfV4n+mF,Cloned executive solution,RPG,Allen-White,singleplayer,Level 35,3921,True,Achiev_45,468
christina20,yHZ#s_BZ!9,Operative zero-defect Graphical User Interface,Simulation,Martinez PLC,singleplayer,Level 16,831,True,Achiev_12,147
qrodriguez,!qYgoFAx)7,Re-contextualized motivating array,Shooter,Hernandez-Garner,mmo,Level 46,2366,True,Achiev_85,243
melissa84,@8tbArUYZ7,Monitored empowering open architecture,Strategy,"Miller, Swanson and Sherman",mmo,Level 6,3117,False,Achiev_79,79
gillroger,tYu9MuOk!c,Ergonomic value-added Internet solution,Action,Parker Group,mmo,Level 36,2982,False,Achiev_32,76
donald69,(82(!tWgxV,Enhanced interactive moratorium,Strategy,Vazquez-Lewis,singleplayer,Level 59,3043,False,Achiev_27,332
isanders,5G4@ljXe_W,Triple-buffered upward-trending info-mediaries,Action,Morrison Inc,mmo,Level 40,4014,True,Achiev_61,46
connor89,q25$3IlAu*,Operative zero-defect Graphical User Interface,Simulation,Martinez PLC,singleplayer,Level 8,2341,False,Achiev_80,334
phawkins,#KWawSKav6,Cloned human-resource Graphical User Interface,Action,Miller-Johnson,mmo,Level 4,2855,True,Achiev_11,73
megan40,7)YiU98q@Z,Centralized responsive software,Simulation,"Wyatt, Smith and Little",singleplayer,Level 27,3973,True,Achiev_38,361
xsullivan,u*30IxM((g,User-centric zero administration customer loyalty,Action,"Mcneil, Bradshaw and Sanders",singleplayer,Level 27,3413,True,Achiev_7,234
elizabeth56,EERkTdTe(3,Centralized didactic collaboration,Shooter,"Daugherty, Howe and Jenkins",singleplayer,Level 26,3306,False,Achiev_76,179
randall21,$2o2Bs+nh0,Advanced stable model,Action,Middleton-Lowery,mmo,Level 49,1089,True,Achiev_60,88
williamstammy,p#5lQBIg+9,Networked logistical capability,RPG,Roberts Inc,singleplayer,Level 34,1319,False,Achiev_100,449
jfarmer,9%9ACkdQq^,Persevering intermediate service-desk,RPG,Phelps Inc,mmo,Level 16,1909,False,Achiev_7,124
ccurtis,^i&U1WhVX!,Universal attitude-oriented data-warehouse,Action,Rogers-Weaver,mmo,Level 30,1910,False,Achiev_92,291
longjoseph,w9vV(eDp@$,Profound multimedia policy,Action,"Cook, Taylor and Gutierrez",mmo,Level 18,1685,False,Achiev_60,69
joshua09,)yDjjmbf95,User-centric zero administration customer loyalty,Action,"Mcneil, Bradshaw and Sanders",singleplayer,Level 22,4313,False,Achiev_54,339
